Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C29, C32, C6, C8",0402,5,1uF,C52923
"C10, C37, C55, C9",0402,4,22pF,C1555
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C3, C30, C35, C36, C4, C40, C42, C44, C45, C46, C47, C48, C49, C5, C50, C51, C54, C58, C59, C60, C61, C62, C63, C64",0402,43,100nF,C1525
"C31, C41, C43, C7",0402,4,10uF,C15525
"C33, C53",0603,2,10uF,C19702
"C34, C39, C52, C57",0603,4,100nF,C14663
"C38, C56",0603,2,22uF,C84419
"D1, D12, D13, D14, D15, D16, D17",0805,7,green,C2297
D10,0805,1,PORT1,C2297
D11,0805,1,ACTIVE,C2297
D18,D_SOD-323,1,1N5819WS,C2927280
D2,0805,1,Mouse,C2297
D3,0805,1,Keyboard,C2297
D4,0805,1,Joystick,C2297
D5,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,C965555
D7,0805,1,PORT4,C2297
D8,0805,1,PORT3,C2297
D9,0805,1,PORT2,C2297
"F1, F2",1206,2,500mA,C70076
"FB3, FB4",0603,2,MPZ1608S101,C107332
J1,PinHeader_1x05_P2.54mm_Vertical,1,SWD,C492404
J11,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick 0,C141880
J12,DSUB-9_Pins_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,Joystick 1,C141880
"J13, J7",USB_A_Wuerth_61400826021_Horizontal_Stacked,2,USB_A_Stacked,C456021
J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C165948
J3,PinHeader_2x06_P2.54mm_Vertical,1,Jumper block,C32713279
J4,TF-015,1,Micro_SD_Card_Det1,C393941
J5,HDMI_A_Molex_208658-1001_Horizontal,1,HDMI_A,C720616
"L1, L3",L_Sunlord_MWSA0402S,2,3.3uH,C408336
"R1, R15, R16, R30, R6, R7",0402,6,1k,C11702
"R10, R11, R12, R45, R46, R47, R48, R49, R50, R57, R9",0402,11,560,C163460
"R13, R14",0402,2,330,C105875
"R17, R26, R51, R52",0402,4,22,C25092
"R18, R19, R29, R31, R32, R40, R58",0402,7,4k7,C25900
"R2, R3",0402,2,5k1,C25905
R20,0402,1,100,C25076
"R21, R22, R23, R24, R25, R27, R28, R36, R41, R42, R43, R44",0402,12,10k,C25744
"R33, R34",0402,2,220,C25091
R35,0402,1,470,C25117
"R37, R53",0402,2,47k,C11702
"R38, R8",0402,2,30k,C138008
R39,0402,1,12k 1%,C25752
"R4, R5",0603,2,27R,C25190
R54,0402,1,15k 1%,C25756
R55,0402,1,3k3 1%,C25890
R56,0402,1,18k 1%,C138044
"RN1, RN2, RN3",R_Array_Concave_4x0603,3,10k,C110924
SW1,SW_SPST_TL3342,1,Boot,C318884
SW2,SW_SPST_TL3342,1,KEY1,C318884
SW3,SW_SPST_TL3342,1,KEY2,C318884
"U1, U8",TSOT-23-6,2,SY8113BADC,C78989
"U10, U9",TSSOP-14_4.4x5mm_P0.65mm,2,74LCX07,C2676034
U11,SOIC-8_3.9x4.9mm_P1.27mm,1,LY68L6400SLIT,C261881
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
U3,SOT-23-6,1,USBLC6-2SC6,C2827654
U4,RP2040-QFN-56,1,RP2040,C2040
U5,ArtInChip_QFN-88-1EP_10x10mm_P0.4mm_EP6.74x6.74mm_ThermalVias,1,GW2AR-LV18-QN88,C9900028472
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C131025
U7,SSOP-28_3.9x9.9mm_P0.635mm,1,CH334U,C5187524
"Y1, Y3",Crystal_SMD_3225-4Pin_3.2x2.5mm,2,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27MHz,C2901577
